Country,Region_Continental,Region_Emerging,Region_BRIC,Region_G8,global_mean,global_stdev,CM_Reb,CSD_Reb,Gender4_M,Gender4_F,Age4_1,Age4_2,Age4_3,Age4_4,Age4_5
the Netherlands,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,66.23416276,22.59950022,.504515103,.495484897,.109411263,.153723777,.190100592,.355168331,.191596037
France,EMEA,Developed Markets,Non_BRIC,G8,69.34883951,24.11096834,65.68034392,23.67387551,.499720957,.500279043,.111295543,.162017232,.179940686,.33460163,.212144909
Germany,EMEA,Developed Markets,Non_BRIC,G8,69.34883951,24.11096834,63.41455407,25.05724425,.50548812,.49451188,.096973538,.141511623,.17444831,.340447724,.246618805
Belgium,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,65.83792785,23.7820346,.503972165,.496027835,.104248057,.15377554,.174547741,.346298716,.221129946
Switzerland,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,63.44849397,24.46855828,.503123753,.496876247,.107190054,.158922274,.190070553,.338454081,.205363038
Denmark,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,62.65575622,25.7400625,.5036,.4964,.115225569,.157836074,.154393821,.330208746,.24233579
Spain,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,68.40437014,23.82872269,.505707795,.494292205,.090572814,.189293108,.20981869,.304230441,.206084947
Greece,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,70.3196949,23.64920727,.499233762,.500766238,.08860555,.173286157,.188187594,.316272171,.233648528
Hungary,EMEA,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,58.06012727,25.67191645,.492467598,.507532402,.10743184,.181552282,.179847141,.326178183,.204990554
Finland,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,57.85571042,25.52138003,.50550756,.49449244,.107522202,.156892714,.155116413,.365193739,.215274933
the United Kingdom,EMEA,Developed Markets,Non_BRIC,G8,69.34883951,24.11096834,65.54110651,23.44364805,.505170547,.494829453,.120603664,.163091351,.181275964,.328237671,.20679135
Ireland,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,66.84832873,26.75805033,.5031232,.4968768,.121711618,.227857614,.203341761,.296839544,.150249463
Italy,EMEA,Developed Markets,Non_BRIC,G8,69.34883951,24.11096834,67.83812397,22.9562958,.494423167,.505576833,.085892517,.152904283,.195647997,.324106162,.241449041
Croatia,EMEA,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,60.31783212,26.69451507,.496211988,.503788012,.107158901,.174113138,.164140038,.346425482,.208162441
Norway,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,66.4,26.2946221,.506212466,.493787534,.116400238,.154028187,.189571967,.339694093,.200305515
Poland,EMEA,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,72.13730075,21.37400715,.496753017,.503246983,.121390068,.206804556,.164463532,.34200004,.165341804
Portugal,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,69.87048671,22.84260155,.497279507,.502720493,.10354817,.181662528,.186896726,.306812911,.221079665
Sweden,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,62.68195888,24.93155706,.505816674,.494183326,.118310458,.14855958,.167369563,.326090615,.239669784
Turkey,EMEA,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,73.76223677,25.49827932,.505110545,.494889455,.18116608,.252275808,.207036928,.268670806,.090850378
Austria,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,61.90559212,24.98461019,.501850229,.498149771,.101948208,.149523697,.190287906,.337366862,.220873326
Australia,Asia,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,61.86046467,24.92880721,.500937524,.499062476,.123852848,.183941313,.187776796,.327224558,.177204485
United States of America,North America,Developed Markets,Non_BRIC,G8,69.34883951,24.11096834,68.42954026,24.46617231,.498105867,.501894133,.129849495,.178106143,.175803876,.344901628,.171338858
Canada,North America,Developed Markets,Non_BRIC,G8,69.34883951,24.11096834,64.93954532,24.56808278,.505009674,.494990326,.116656817,.16631449,.16758933,.356150758,.193288605
Mexico,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,77.15053023,22.60521521,.481075452,.518924548,.195150866,.24370245,.212118332,.251413504,.097614848
China,Asia,Emerging Markets,BRIC,Not G8,69.34883951,24.11096834,76.10767896,16.59864839,.510030924,.489969076,.138139454,.192438447,.229353003,.322700346,.11736875
Russia,EMEA,Emerging Markets,BRIC,G8,69.34883951,24.11096834,74.38980988,23.07411432,.476258746,.523741254,.131787966,.194734343,.16656258,.344175974,.162739137
Ukraine,EMEA,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,65.14218608,27.76667712,.475755276,.524244724,.125276041,.188148288,.167217235,.331581886,.18777655
Czech Republic,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,60.31783212,26.69451507,.502366353,.497633647,.104635258,.18631616,.18207188,.335867832,.19110887
Morocco,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,75.317833,26.69451507,.502366353,.497633647,.104635258,.18631616,.18207188,.335867832,.19110887
Slovakia,EMEA,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,60.31783212,26.69451507,.49773617,.50226383,.138245177,.237734551,.203765497,.380254775,.04
Argentina,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,67.72225942,28.08210774,.497874134,.502125866,.162538863,.224215488,.176451414,.279836756,.156957479
Brazil,Latin America,Emerging Markets,BRIC,Not G8,69.34883951,24.11096834,74.48762334,24.4163156,.49425531,.50574469,.172905402,.24596635,.21261048,.272827855,.095689913
Chile,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,66.40101093,27.30188083,.499235471,.500764529,.163140539,.20938759,.189736044,.308313197,.12942263
Colombia,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,74.1060288,25.22292624,.491667424,.508332576,.191634091,.225479609,.211768107,.281792624,.089325569
Costa Rica,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,73.28600086,24.28267528,.502162017,.497837983,.192149114,.241078273,.204520504,.273160121,.089091987
Dominican Republic,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,73.28600086,24.28267528,.510282407,.489717593,.200589377,.238391302,.201876685,.259942303,.099200333
Ecuador,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,74.20310111,23.86235019,.491401884,.508598116,.203963537,.250655515,.194695881,.251617853,.099067215
Guatemala,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,73.28600086,24.28267528,.482168158,.517831842,.273039845,.266681807,.168340706,.220604308,.071333334
Romania,9,9,9,9,69.34883951,24.11096834,76.69,22.32,.505110545,.494889455,.18116608,.252275808,.207036928,.268670806,.090850378
India,Asia,Emerging Markets,BRIC,Not G8,69.34883951,24.11096834,82.13370726,18.82518591,.515381198,.484618802,.197097684,.252690497,.211975924,.255164461,.083071434
Indonesia,Asia,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,73.71787331,22.07112303,.501770402,.498229598,.180256166,.249605377,.215234565,.264385013,.090518879
Japan,Asia,Developed Markets,Non_BRIC,G8,69.34883951,24.11096834,63.70888514,21.63234136,.503750199,.496249801,.084432369,.150813276,.175139665,.319880726,.269733964
155,Asia,Developed Markets,Non_BRIC,G8,69.34883951,24.11096834,76.83813959,21.4739303,.503750199,.496249801,.084432369,.150813277,.175139665,.319880726,.269733964
South Korea,Asia,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,60.77243956,21.69928815,.508862785,.491137215,.115733482,.195043745,.213253087,.336574451,.139395235
South Africa,EMEA,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,80.33382472,21.7337,.498195655,.501804345,.199431607,.293311961,.191804788,.233054994,.08239665
Bolivia,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,77.52543604,19.63386445,.47511075,.52488925,.240891638,.271964159,.183702004,.225809783,.077632416
Malaysia,Asia,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,70.93253679,22.87094617,.507826723,.492173277,.187624833,.248698678,.215137905,.273758962,.074779622
New Zealand,Asia,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,60.25512921,24.67640929,.49,.51,.119661544,.189651403,.163731422,.324182205,.202773426
Nigeria,EMEA,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,64.2166121,26.56652458,.50987964,.49012036,.260462228,.285541136,.190684968,.204416902,.058894766
Pakistan,Asia,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,64.2166121,26.56652458,.516518446,.483481554,.259440799,.264374478,.188957411,.213808776,.073418535
Panama,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,78.16008337,17.73367268,.505297711,.494702289,.184673327,.237505233,.209466567,.261550174,.106804699
Paraguay,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,73.28600086,24.28267528,.502240546,.497759454,.220938297,.239448516,.194715939,.251840369,.093056878
Peru,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,70.75824518,17.47681526,.49011951,.50988049,.205520189,.241880245,.201503608,.254978088,.09611787
Philippines,Asia,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,64.2166121,26.56652458,.498733795,.501266205,.232452461,.284972659,.202843738,.239731141,.04
Puerto Rico,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,75.22608652,23.09098051,.475380483,.524619517,.130492952,.182524878,.173569621,.322522091,.190890458
Saudi Arabia,EMEA,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,84.36726465,20.48513079,.571541716,.428458284,.22282787,.319614887,.230130465,.182137405,.045289373
Singapore,Asia,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,71.44386438,19.30898049,.485154503,.514845497,.104058911,.181655338,.243021007,.362117333,.109147411
Thailand,Asia,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,76.50320983,21.2712999,.493433968,.506566032,.139493489,.221947976,.212079427,.306775701,.119703407
Trinidad & Tobago,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,73.28600086,24.28267528,.513472648,.486527352,.160110754,.234830457,.175786731,.322681175,.106590883
UAE,EMEA,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,64.2166121,26.56652458,.741247393,.258752607,.143834217,.392873622,.286152806,.165278152,.011861203
Uruguay,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,64.2166121,26.56652458,.489701426,.510298574,.174625753,.247279515,.204651703,.333443029,.04
Venezuela,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,72.4193474,24.05342816,.491118921,.508881079,.198389192,.247700885,.204328068,.266361915,.08321994
Vietnam,Asia,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,76.28071552,20.46877734,.496840316,.503159684,.203146108,.259637245,.20569002,.25057168,.080954947
Taiwan,Asia,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,72.12841833,18.30144139,.503274949,.496725051,.121843781,.211373199,.197300436,.333893871,.135588713
Philippines,Asia,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,85.97,19.13,.49395417,.50604583,.225201485,.273984766,.197699481,.231962272,.071151995
Uruguay,Latin America,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,64.2166121,26.56652458,.489701426,.510298574,.149939344,.192700825,.174324194,.295161475,.187874162
Hong Kong,Asia,Developed Markets,Non_BRIC,Not G8,69.34883951,24.11096834,76.50320983,21.2712999,.481813931,.518186069,.094995358,.165133446,.194795554,.387724726,.157350916
Egypt,EMEA,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,79.91618567,22.60480536,.481813931,.518186069,.094995358,.165133446,.194795554,.387724726,.157350916
Bangladesh,EMEA,Emerging Markets,Non_BRIC,Not G8,69.34883951,24.11096834,72.68926814,21.79803024,.481813931,.518186069,.094995358,.165133446,.194795554,.387724726,.157350916
